fips,Station_C_1,Station_C_2,WBAN_C_1,WBAN_C_2,dist_f_1,dist_f_2,county,state,pop_density,pop
20151,745430,745430,99999,93978,3.65123493,3.766654778,Pratt,Kansas,12.43251864,9164
20155,999999,724506,93905,13986,10.44035237,14.49686829,Reno,Kansas,49.39773372,61998
20157,724580,722124,13984,04998,19.12502226,22.44588205,Republic,Kansas,6.423373494,4636
20159,720781,724506,99999,13986,1.43179966,26.84885262,Rice,Kansas,13.14730735,9537
20161,722819,724555,53989,03936,10.20367766,11.55699788,Riley,Kansas,121.7106265,74232
20163,724655,724518,93990,03968,27.03000404,34.70054963,Rooks,Kansas,5.507817024,4920
20169,724586,724586,13922,03919,0.062183909,1.11240087,Saline,Kansas,75.28131497,54224
20171,720438,999999,99999,03067,1.313076625,26.9646844,Scott,Kansas,6.742038088,4823
20173,724500,999999,03928,13998,3.059118089,6.076226519,Sedgwick,Kansas,517.3208054,516042
20175,724516,724516,23020,99999,11.77541746,12.33870439,Seward,Kansas,33.51626002,21428
20177,724560,724565,13996,13920,7.326940034,8.036612718,Shawnee,Kansas,325.1532169,176875
20179,720434,720422,99999,03037,26.01451709,32.70718504,Sheridan,Kansas,2.860289515,2521
20181,724650,720437,23065,99999,1.796499426,28.58186197,Sherman,Kansas,5.611797005,5917
20183,725628,725628,99999,04935,54.28914428,54.45872645,Smith,Kansas,3.998676356,3583
20185,745430,745430,93978,99999,22.79544057,22.94534801,Stafford,Kansas,5.245345954,4156
20187,720417,720439,99999,99999,3.125834142,22.63800716,Stanton,Kansas,2.961879195,2006
20189,720425,724516,99999,23020,3.826251886,21.40726602,Stevens,Kansas,7.570143256,5485
20191,724502,724502,13932,99999,24.65631669,24.88584559,Sumner,Kansas,19.30442566,22836
20193,720422,720434,03037,99999,5.351186882,21.00818441,Thomas,Kansas,7.28478481,7777
20195,724655,724518,93990,99999,31.98306022,32.65167154,Trego,Kansas,3.175674775,2803
20197,999999,724555,53974,99999,24.07813721,27.7321924,Wabaunsee,Kansas,8.746051326,6931
20201,724580,722819,13984,53989,34.03116169,34.94427234,Washington,Kansas,6.059493016,5406
20205,724507,745431,13981,99999,16.12645777,20.56075042,Wilson,Kansas,14.94978212,8525
20207,724507,722005,13981,99999,20.49214295,28.70631591,Woodson,Kansas,6.25893019,3138
20209,724461,724463,13988,99999,8.995589588,9.736664675,Wyandotte,Kansas,1091.271585,165429
21001,720445,720379,99999,63882,17.6126908,29.07232552,Adair,Kentucky,47.3462693,19202
21003,746716,722322,93808,99999,19.61595853,23.383568,Allen,Kentucky,61.94978954,21315
21005,724233,724233,99999,53841,13.31883306,13.38812304,Anderson,Kentucky,112.6677886,22747
21007,724975,724975,99999,93809,12.02304122,12.12503315,Ballard,Kentucky,31.9383198,7888
21009,722322,722322,99999,00361,4.723876295,4.743998578,Barren,Kentucky,90.75803239,44249
21011,720456,720456,00146,99999,14.12475584,14.22590903,Bath,Kentucky,44.86239324,12500
21013,720353,720353,99999,63875,8.509118745,8.998891193,Bell,Kentucky,72.49509602,26032
21015,999999,724210,93814,93814,5.869224038,5.92869486,Boone,Kentucky,542.2571673,133581
21017,720456,720456,00146,99999,15.9734279,16.48469887,Bourbon,Kentucky,68.31983988,19788
21019,724250,999999,03860,93818,7.198847379,10.91146797,Boyd,Kentucky,292.2350369,46718
21021,720448,720455,00144,00145,6.188584195,29.21045331,Boyle,Kentucky,166.8355374,30060
21023,720452,999999,99999,00458,21.30756612,27.65348799,Bracken,Kentucky,40.39984684,8303
